,temp,dew,humidity,precip,windspeed,winddir,cloudcover,solarradiation
0,24.9,24.4,97.05,0.6,6.5,104.0,83.2,0.0
1,24.7,24.2,97.05,0.7,6.5,96.6,84.5,0.0
2,24.6,24.0,96.47,0.9,6.5,88.8,85.9,0.0
3,24.5,23.8,95.89,1.1,6.1,80.6,87.4,0.0
4,24.4,23.6,95.31,1.1,5.8,74.0,87.9,0.0
5,24.3,23.4,94.73,1.1,6.1,71.7,86.6,0.0
6,24.2,23.3,94.73,1.1,6.5,74.3,85.3,6.3
7,25.6,24.3,92.54,1.0,6.8,82.4,76.6,107.8
8,27.2,24.3,84.2,1.0,9.4,110.1,52.7,292.1
9,28.3,24.1,78.01,0.3,11.2,129.7,42.9,440.1
10,28.7,24.2,76.68,0.3,11.5,138.9,42.4,554.3
11,29.1,24.4,75.83,0.5,11.2,145.8,41.5,612.0
12,29.5,24.8,75.89,0.6,9.7,148.1,42.8,644.5
13,29.7,24.9,75.47,0.5,7.9,145.0,60.0,589.5
14,29.7,25.0,75.92,0.4,7.2,142.9,80.9,479.0
15,29.6,25.1,76.81,0.3,6.1,145.3,83.6,374.0
16,29.3,25.5,80.04,0.2,4.3,151.9,84.5,216.9
17,28.8,25.1,80.45,0.2,4.0,149.1,86.9,87.1
18,28.0,25.4,85.8,0.3,2.5,144.5,87.3,14.8
19,27.5,25.1,86.78,0.2,2.2,138.5,86.5,0.0
20,27.1,24.9,87.79,0.2,2.2,123.4,86.0,0.0
21,26.5,25.0,91.49,0.1,3.2,117.9,86.5,0.0
22,25.9,25.0,94.79,0.1,4.3,120.2,87.1,0.0
23,25.5,24.8,95.92,0.2,4.7,119.3,88.0,0.0
24,25.2,24.7,97.06,0.2,4.7,116.9,88.1,0.0
25,24.9,24.5,97.64,0.3,5.0,113.0,87.3,0.0
26,24.8,24.4,97.64,0.3,5.8,109.8,86.7,0.0
27,24.6,24.3,98.22,0.3,5.8,108.4,87.7,0.0
28,24.6,24.2,97.63,0.3,6.1,107.7,88.3,0.0
29,24.5,24.2,98.22,0.3,6.5,105.2,86.9,0.0
30,24.5,24.1,97.63,0.4,6.5,103.5,76.3,3.0
31,25.1,24.5,96.48,0.4,8.3,100.2,61.2,61.3
32,26.0,24.8,93.11,0.5,10.1,101.6,55.4,192.1
33,26.9,25.0,89.36,1.1,11.2,107.0,54.9,309.8
34,27.4,24.6,84.72,0.6,12.2,110.9,53.6,401.6
35,27.8,24.4,81.78,0.1,13.0,111.0,53.3,494.5
36,28.2,24.2,78.94,0.2,12.2,112.4,50.5,532.5
37,28.5,24.2,77.58,0.4,11.9,115.7,43.1,569.8
38,28.7,24.3,77.14,0.4,11.5,119.3,33.7,569.5
39,28.7,24.3,77.14,0.2,11.2,122.9,29.4,509.8
40,28.5,24.4,78.51,0.3,10.1,129.3,32.8,356.1
41,27.8,24.8,83.76,0.1,8.3,137.1,42.7,174.4
42,26.6,24.7,89.33,0.2,6.5,139.2,56.7,30.0
43,25.7,24.5,93.1,0.1,5.0,146.7,67.7,0.0
44,25.5,24.2,92.53,0.2,4.0,141.0,78.9,0.0
45,25.4,24.0,91.97,0.2,2.5,106.5,84.5,0.0
46,25.1,23.9,93.07,0.2,3.2,62.5,84.5,0.0
47,24.7,23.7,94.18,0.2,5.0,48.2,79.6,0.0
48,24.4,23.5,94.73,0.3,6.1,49.7,80.9,0.0
49,24.2,23.3,94.73,0.5,6.5,56.1,81.5,0.0
50,24.2,23.1,93.59,0.6,6.5,65.8,82.1,0.0
51,24.1,22.9,93.02,0.8,6.5,73.5,82.8,0.0
52,24.1,22.6,91.34,0.9,5.8,77.8,84.1,0.0
53,24.2,22.3,89.15,0.9,4.3,70.5,85.4,0.0
54,24.3,22.1,87.55,1.0,3.6,48.1,85.5,3.4
55,24.8,23.3,91.38,1.1,3.2,37.5,85.6,55.1
56,26.1,23.0,83.07,1.2,2.2,74.4,84.6,146.5
57,27.5,23.5,78.84,0.3,3.2,126.6,80.6,266.0
58,28.4,23.2,73.47,0.3,3.6,125.4,79.1,399.5
59,28.5,22.9,71.73,0.4,4.0,137.9,75.9,433.1
60,28.6,23.1,72.18,0.4,4.3,148.1,71.4,500.9
61,28.8,23.2,71.78,0.3,5.0,152.9,70.3,505.4
62,28.9,23.3,71.8,0.3,6.1,162.4,59.8,481.9
63,28.8,23.4,72.65,0.2,7.2,173.4,56.1,434.4
64,28.3,23.8,76.62,0.1,7.6,188.6,65.2,316.6
65,27.8,24.2,80.8,0.1,6.8,202.9,61.7,186.4
66,26.7,24.1,85.67,0.2,5.4,215.0,70.7,35.1
67,25.6,24.0,90.89,0.3,4.7,224.8,79.8,0.0
68,25.5,23.3,87.65,0.3,3.6,240.7,32.8,0.0
69,25.4,22.9,86.07,0.3,2.5,253.0,12.9,0.0
70,25.4,22.5,84.0,0.3,0.7,236.4,9.9,0.0
71,24.6,22.7,89.18,0.4,2.2,92.0,9.9,0.0
72,23.7,22.7,94.13,0.5,4.7,93.8,10.8,0.0
73,23.3,22.6,95.85,0.5,6.1,100.0,21.4,0.0
74,23.2,22.6,96.43,0.6,6.1,107.1,49.0,0.0
75,23.2,22.6,96.43,0.5,6.5,110.0,52.3,0.0
76,23.0,22.5,97.01,0.4,6.5,106.0,42.0,0.0
77,22.8,22.3,97.01,0.3,6.8,101.8,21.1,0.0
78,22.6,22.2,97.6,0.2,6.8,100.1,20.0,7.2
79,23.7,22.9,95.28,0.1,8.6,97.9,22.6,127.0
80,25.0,23.4,90.85,0.1,8.6,102.8,21.0,320.3
81,26.2,23.5,85.11,0.6,9.4,104.8,19.9,520.3
82,27.3,23.7,80.74,0.9,9.7,110.6,26.7,681.0
83,28.2,23.8,77.07,1.3,9.7,119.7,61.2,793.3
84,28.8,24.0,75.33,2.2,9.0,129.2,67.3,840.0
85,29.2,24.1,74.04,2.9,8.3,133.6,74.8,833.8
86,29.3,24.2,74.06,2.7,7.2,138.2,53.3,730.8
87,29.1,24.1,74.47,2.2,6.5,144.7,37.6,557.3
88,28.7,24.1,76.22,1.5,5.8,147.2,27.6,379.1
89,28.0,24.4,80.83,1.0,4.7,150.8,27.5,185.2
90,27.1,24.4,85.2,1.1,3.6,147.9,28.6,34.5
91,26.0,24.9,93.67,0.9,2.9,144.5,30.7,0.0
92,25.6,24.6,94.21,1.0,3.2,133.8,28.8,0.0
93,25.2,24.3,94.76,1.2,3.2,123.0,26.9,0.0
94,24.8,24.0,95.32,1.7,3.6,110.6,26.5,0.0
95,24.5,23.8,95.89,1.9,4.0,99.4,26.7,0.0
96,24.2,23.6,96.46,2.0,4.0,91.5,34.0,0.0
97,24.0,23.4,96.45,2.3,4.0,80.1,41.7,0.0
98,23.8,23.2,96.45,2.1,4.0,70.0,43.1,0.0
99,23.6,23.0,96.44,2.1,4.0,63.9,42.4,0.0
100,23.5,22.8,95.85,1.9,4.0,58.6,42.2,0.0
101,23.3,22.6,95.85,1.5,3.6,48.2,43.3,0.0
102,23.3,22.4,94.69,1.1,3.6,35.9,43.8,5.1
103,24.3,23.1,93.03,1.0,3.2,28.2,49.2,91.0
104,26.0,23.1,84.07,1.2,4.0,118.8,49.8,224.2
105,27.2,23.1,78.33,2.2,5.8,131.1,45.8,349.6
106,27.8,22.6,73.37,3.9,5.4,125.8,30.7,508.1
107,28.6,23.0,71.74,4.9,3.2,116.8,11.4,745.3
108,29.5,23.2,68.93,5.4,2.2,132.5,7.7,867.8
109,30.0,23.4,67.79,4.0,2.5,185.4,7.6,841.5
110,30.1,23.5,67.81,2.8,4.0,210.8,8.5,757.5
111,29.8,23.6,69.41,1.6,5.4,211.6,10.3,607.5
112,29.2,23.7,72.28,0.7,6.8,209.7,30.0,417.6
113,28.5,24.2,77.58,0.5,6.1,210.1,71.1,205.8
114,27.3,24.0,82.21,0.5,5.4,207.1,82.3,37.2
115,26.1,24.3,89.83,0.6,4.7,197.2,72.6,0.0
116,25.6,24.0,90.89,0.8,4.7,184.6,65.1,0.0
117,25.1,23.8,92.51,0.8,5.0,165.0,63.2,0.0
118,24.7,23.7,94.18,1.1,5.0,147.2,63.7,0.0
119,24.3,23.5,95.3,1.5,5.4,130.5,71.0,0.0
120,23.9,23.2,95.87,1.7,6.1,113.8,75.2,0.0
121,23.6,23.0,96.44,1.4,6.8,94.6,78.4,0.0
122,23.4,22.7,95.85,1.0,8.3,77.5,77.1,0.0
123,23.2,22.4,95.26,0.4,9.7,70.0,68.3,0.0
124,22.9,21.9,94.1,0.2,11.2,70.9,68.3,0.0
125,22.7,21.5,92.95,0.2,11.9,76.4,71.5,0.0
126,22.5,21.2,92.37,0.3,12.2,81.3,77.7,3.0
127,22.9,21.3,90.71,0.4,13.7,83.0,69.1,68.9
128,23.8,21.7,88.04,0.8,16.2,83.1,53.6,220.4
129,25.0,22.3,84.99,0.8,16.6,87.5,59.6,366.0
130,25.9,22.4,81.05,1.3,16.9,97.7,79.5,423.6
131,26.2,22.5,80.11,1.8,16.6,106.4,90.7,428.9
132,26.3,22.6,80.12,2.1,15.5,109.8,92.7,417.1
133,25.9,22.6,82.04,2.6,13.3,107.8,93.3,300.4
134,25.5,22.6,84.01,2.8,11.9,103.6,92.2,238.8
135,25.2,22.7,86.05,3.0,11.9,99.6,91.7,183.1
136,24.7,22.8,89.19,3.6,11.9,97.6,91.5,114.2
137,24.2,22.9,92.46,4.9,10.8,93.3,91.8,50.7
138,23.7,22.9,95.28,4.1,10.8,85.5,90.4,8.3
139,23.5,22.7,95.28,4.7,13.3,82.1,88.6,0.0
140,23.4,22.7,95.85,4.5,15.1,82.7,85.1,0.0
141,23.3,22.5,95.27,4.1,16.6,90.1,81.2,0.0
142,23.0,22.1,94.68,3.9,17.3,95.3,81.8,0.0
143,22.7,21.9,95.25,3.6,16.2,94.5,83.4,0.0
144,22.6,21.7,94.66,3.6,15.5,90.3,83.3,0.0
145,22.5,21.5,94.08,3.9,14.8,87.3,82.8,0.0
146,22.4,21.3,93.5,4.1,14.0,85.8,81.8,0.0
147,22.3,21.1,92.93,4.4,11.9,83.3,85.3,0.0
148,22.3,21.1,92.93,4.3,9.7,77.8,88.5,0.0
149,22.3,21.0,92.36,3.9,9.0,71.5,90.5,0.0
150,22.3,21.0,92.36,3.2,8.6,65.1,90.5,2.6
151,23.1,21.6,91.28,2.2,8.6,53.8,87.9,58.0
152,24.5,22.0,85.98,1.5,10.4,47.2,82.2,178.2
153,25.6,22.5,83.01,6.5,10.4,74.7,77.0,289.8
154,26.1,22.8,82.07,3.6,14.0,103.3,72.7,347.6
155,26.1,23.0,83.07,1.4,15.1,105.6,71.6,404.1
156,26.3,23.3,83.59,1.2,15.1,104.3,72.9,441.9
157,26.4,23.5,84.11,2.1,14.8,102.9,75.4,431.1
158,26.5,23.7,84.63,2.3,13.7,101.7,75.2,373.6
159,26.5,23.8,85.14,1.3,11.9,96.8,72.0,303.4
160,26.5,24.0,86.17,0.5,9.7,89.2,63.9,217.1
161,26.2,24.2,88.77,0.1,6.8,79.7,60.5,112.1
162,25.4,24.1,92.53,0.1,5.4,71.9,60.6,18.9
163,24.8,23.6,93.05,0.2,5.4,65.9,63.0,0.0
164,24.6,23.4,93.04,0.4,5.8,65.3,72.2,0.0
165,24.3,23.2,93.59,0.3,6.1,74.2,80.4,0.0
166,24.1,23.0,93.58,0.2,6.5,82.1,81.2,0.0
167,23.9,22.8,93.57,0.4,6.8,82.8,81.9,0.0
168,23.7,22.6,93.56,0.6,7.2,81.0,82.5,0.0
169,23.5,22.3,92.99,0.6,7.9,81.0,76.7,0.0
170,23.3,22.1,92.98,0.5,8.3,83.3,73.9,0.0
171,23.2,21.8,91.84,0.5,9.0,85.3,68.7,0.0
172,23.1,21.6,91.28,0.5,9.4,83.5,62.0,0.0
173,22.9,21.4,91.27,0.6,9.7,77.6,53.8,0.0
174,22.8,21.2,90.7,0.7,9.4,72.7,49.9,4.2
175,24.1,22.4,90.24,0.4,8.3,72.3,51.6,101.1
176,26.0,22.6,81.56,0.2,10.1,85.5,55.2,251.8
177,27.7,22.4,72.9,0.1,13.0,110.8,40.2,423.9
178,28.2,22.8,72.55,0.2,15.8,120.1,29.3,618.8
179,28.3,23.4,74.79,0.4,17.3,121.7,24.7,721.0
180,28.6,23.8,75.29,0.7,17.3,120.8,16.6,777.5
181,29.0,24.2,75.36,1.6,16.9,119.5,6.1,841.8
182,29.1,24.4,75.83,1.4,16.2,120.2,6.5,753.5
183,28.9,24.4,76.71,0.5,15.5,123.8,6.3,608.5
184,28.5,24.7,79.93,0.1,13.7,128.0,7.2,423.0
185,27.9,25.0,84.27,0.1,11.2,130.8,9.0,210.8
186,26.4,24.8,90.94,0.1,8.6,128.9,10.7,34.5
187,25.4,24.4,94.21,0.1,7.6,122.5,13.6,0.0
188,25.0,24.1,94.76,0.1,7.9,111.2,16.7,0.0
189,24.7,23.9,95.32,0.0,8.6,100.2,19.4,0.0
190,24.5,23.6,94.74,0.0,9.0,93.5,28.8,0.0
191,24.3,23.3,94.16,0.1,9.0,89.9,51.5,0.0
,temp,dew,humidity,precip,windspeed,winddir,cloudcover,solarradiation
0,21.4,20.1,92.31,0.1,1.4,22.8,92.4,0.0
1,21.1,20.1,94.02,0.1,1.4,1.8,92.3,0.0
2,20.9,20.0,94.6,0.1,2.5,330.6,96.0,0.0
3,20.8,19.8,94.01,0.1,3.2,319.9,95.9,0.0
4,20.7,19.6,93.42,0.1,3.6,310.0,94.9,0.0
5,20.7,19.4,92.27,0.1,4.0,301.7,94.0,0.0
6,21.0,19.8,92.86,0.1,4.0,305.4,90.7,36.0
7,22.7,20.3,86.33,0.1,6.8,288.6,77.5,179.3
8,24.3,19.8,76.0,0.1,11.9,275.2,68.1,371.9
9,25.3,19.2,68.97,0.1,15.5,268.8,77.7,548.5
10,26.0,19.1,65.75,0.2,17.6,264.9,85.5,667.3
11,26.5,19.2,64.24,0.2,18.7,261.0,78.6,746.0
12,26.9,19.4,63.53,0.2,19.4,258.0,57.7,759.3
13,27.1,19.5,63.18,0.2,20.2,256.7,56.1,745.0
14,27.0,19.6,63.95,0.2,20.5,258.0,60.2,639.3
15,26.8,19.6,64.7,0.1,19.1,259.5,77.1,519.8
16,26.4,19.6,66.25,0.1,17.6,260.3,90.3,375.6
17,25.6,19.9,70.77,0.1,14.4,261.2,87.4,213.5
18,24.5,20.6,78.9,0.0,9.7,261.4,88.5,81.1
19,23.0,20.7,86.9,0.0,7.2,264.3,87.1,6.9
20,22.5,20.3,87.39,0.0,7.2,270.8,85.5,0.0
21,22.2,20.1,87.9,0.0,7.2,279.7,83.2,0.0
22,21.9,19.9,88.42,0.0,7.2,287.8,83.7,0.0
23,21.8,19.8,88.42,0.0,6.5,296.0,87.2,0.0
24,21.8,19.6,87.32,0.0,5.0,299.6,91.2,0.0
25,21.8,19.5,86.78,0.0,4.0,301.4,94.6,0.0
26,21.6,19.3,86.77,0.0,3.6,303.3,92.0,0.0
27,21.5,19.1,86.22,0.0,2.9,310.2,89.9,0.0
28,21.5,18.8,84.62,0.0,2.2,307.6,83.3,0.0
29,21.5,18.4,82.52,0.0,2.2,276.1,72.7,0.0
30,21.6,19.1,85.69,0.0,1.8,242.1,79.7,23.6
31,22.3,19.0,81.6,0.0,6.1,246.1,91.1,110.2
32,23.6,19.0,75.42,0.0,11.2,252.7,96.3,256.4
33,24.8,18.4,67.59,0.0,15.5,255.9,96.0,430.8
34,25.7,18.4,64.07,0.0,18.0,256.5,95.8,587.0
35,26.5,18.7,62.26,0.1,19.1,256.8,95.2,709.5
36,26.9,18.9,61.58,0.1,19.1,257.1,94.1,733.8
37,27.1,19.2,62.01,0.1,18.4,256.8,92.3,655.3
38,27.3,19.4,62.05,0.1,17.6,256.7,90.7,597.0
39,27.3,19.5,62.44,0.1,16.2,255.6,89.0,503.5
40,26.9,19.5,63.93,0.1,14.8,254.2,89.3,357.0
41,26.2,19.9,68.29,0.1,11.9,253.1,85.5,201.8
42,25.1,20.3,74.73,0.0,9.0,251.4,82.6,75.9
43,24.0,21.0,83.33,0.0,5.0,246.8,80.0,6.5
44,24.0,20.1,78.83,0.0,4.0,250.6,71.9,0.0
45,23.8,19.8,78.32,0.0,3.2,270.7,66.7,0.0
46,23.4,19.6,79.24,0.0,2.9,304.8,67.5,0.0
47,23.0,19.7,81.68,0.0,2.5,343.2,70.2,0.0
48,22.5,19.9,85.25,0.0,2.9,8.6,71.4,0.0
49,22.1,19.9,87.35,0.0,2.9,19.2,75.1,0.0
50,22.0,19.4,85.2,0.0,1.4,27.9,78.1,0.0
51,21.7,19.4,86.77,0.0,1.1,138.9,72.1,0.0
52,21.3,19.5,89.48,0.0,1.8,142.3,56.9,0.0
53,20.9,19.4,91.14,0.0,2.2,133.0,43.8,0.0
54,21.0,19.7,92.28,0.0,1.4,124.1,66.9,32.7
55,22.5,19.8,84.72,0.0,2.9,227.6,80.5,152.6
56,24.2,19.3,74.12,0.0,7.9,251.4,80.9,334.9
57,25.4,19.2,68.56,0.2,11.5,250.3,81.9,542.0
58,26.5,19.5,65.45,0.8,13.7,244.2,80.5,714.3
59,27.4,19.8,63.24,1.8,15.5,238.7,75.5,838.0
60,27.5,20.1,64.05,3.0,16.6,236.8,69.9,773.8
61,27.1,20.4,66.8,3.7,16.9,236.0,65.9,644.3
62,26.7,20.7,69.67,3.5,16.6,234.3,55.6,580.0
63,26.3,20.8,71.77,4.0,14.8,234.1,47.2,462.4
64,25.9,20.9,73.95,4.0,12.6,235.1,43.9,365.6
65,25.4,20.9,76.17,3.8,10.8,236.7,40.5,204.0
66,24.4,20.4,78.4,3.7,8.6,233.3,46.1,77.1
67,23.4,21.1,86.93,3.5,3.6,211.3,58.3,4.7
68,22.7,21.2,91.25,4.3,1.8,144.1,62.1,0.0
69,22.0,20.9,93.48,4.8,2.2,84.4,64.7,0.0
70,21.6,20.5,93.46,5.2,3.2,70.9,68.8,0.0
71,21.4,20.3,93.46,5.1,3.2,79.2,73.1,0.0
72,21.1,20.3,95.19,4.9,2.5,111.7,76.7,0.0
73,20.8,20.2,96.37,4.4,3.2,143.7,76.1,0.0
74,20.4,19.9,96.95,3.7,3.6,157.5,73.0,0.0
75,20.1,19.7,97.55,3.2,3.6,167.5,65.1,0.0
76,19.9,19.6,98.16,2.7,3.2,174.3,55.4,0.0
77,19.7,19.4,98.15,2.2,3.2,177.0,41.2,0.0
78,19.9,19.5,97.55,1.7,4.0,174.7,36.4,24.7
79,20.7,19.7,94.0,1.5,6.1,181.6,39.0,128.2
80,21.6,19.9,90.06,1.6,7.6,194.2,35.6,295.9
81,22.8,20.1,84.76,1.8,9.7,205.0,24.6,491.1
82,23.9,20.3,80.3,3.0,12.2,209.2,12.4,652.3
83,24.7,20.6,77.97,3.8,14.8,208.2,19.2,785.3
84,24.9,20.8,77.99,4.0,15.5,207.1,23.2,803.5
85,25.1,21.0,78.02,4.6,16.2,206.6,26.0,731.3
86,25.3,21.3,78.53,5.0,17.3,206.8,25.9,757.3
87,24.7,21.4,81.9,4.2,17.6,209.9,42.7,500.4
